id,player,age,team,total_games,games_started,minutes_played,points_per_game
522,Willie Reed,27,TOT,42,5,10.2,4.6
523,Willie Reed,27,LAC,39,5,10.7,4.9
524,Willie Reed,27,DET,3,0,3,0.7
525,Josh Richardson,24,MIA,81,81,33.2,12.9
526,Malachi Richardson,22,TOT,26,4,12.5,3.4
527,Malachi Richardson,22,SAC,25,4,12.8,3.5
528,Malachi Richardson,22,TOR,1,0,5,2
529,Austin Rivers,25,LAC,61,59,33.7,15.1
530,Andre Roberson,26,OKC,39,39,26.6,5
531,Devin Robinson,22,WAS,1,0,13,2
532,Glenn Robinson III,24,IND,23,1,14.7,4.1
533,Rajon Rondo,31,NOP,65,63,26.2,8.3
534,Derrick Rose,29,TOT,25,7,16.8,8.4
535,Derrick Rose,29,CLE,16,7,19.3,9.8
536,Derrick Rose,29,MIN,9,0,12.4,5.8
537,Terrence Ross,26,ORL,24,20,25,8.7
538,Terry Rozier,23,BOS,80,16,25.9,11.3
539,Ricky Rubio,27,UTA,77,77,29.3,13.1
540,D'Angelo Russell,21,BRK,48,35,25.7,15.5
541,Domantas Sabonis,21,IND,74,19,24.5,11.6
542,JaKarr Sampson,24,SAC,22,6,15.6,4.7
543,Dario Šarić,23,PHI,78,73,29.6,14.6
544,Tomáš Satoranský,26,WAS,73,30,22.5,7.2
545,Dennis Schröder,24,ATL,67,67,31,19.4
546,Mike Scott,29,WAS,76,1,18.5,8.8
547,Thabo Sefolosha,33,UTA,38,6,21.2,8.2
548,Wayne Selden,23,MEM,35,9,19.8,9.3
549,Ramon Sessions,31,TOT,28,3,14,4.9
550,Ramon Sessions,31,NYK,13,3,12.8,3.7
551,Ramon Sessions,31,WAS,15,0,15,5.9
552,Iman Shumpert,27,CLE,14,6,19.7,4.4
553,Pascal Siakam,23,TOR,81,5,20.7,7.3
554,Xavier Silas,30,BOS,2,0,3.5,0
555,Ben Simmons,21,PHI,81,81,33.7,15.8
556,Jonathon Simmons,28,ORL,69,50,29.4,13.9
557,Kobi Simmons,20,MEM,32,12,20.1,6.1
558,Kyle Singler,29,OKC,12,0,4.9,1.9
559,Marcus Smart,23,BOS,54,11,29.9,10.2
560,Dennis Smith Jr.,20,DAL,69,69,29.7,15.2
561,Ish Smith,29,DET,82,35,24.9,10.9
562,J.R. Smith,32,CLE,80,61,28.1,8.3
563,Jason Smith,31,WAS,33,2,8.6,3.4
564,Josh Smith,32,NOP,3,0,4,0.7
565,Tony Snell,26,MIL,75,59,27.4,6.9
566,Marreese Speights,30,ORL,52,3,13,7.7
567,Nik Stauskas,24,TOT,41,0,12.8,4.4
568,Nik Stauskas,24,PHI,6,0,7.5,0.7
569,Nik Stauskas,24,BRK,35,0,13.7,5.1
570,Lance Stephenson,27,IND,82,7,22.6,9.2
571,David Stockton,26,UTA,3,0,3,3.3
572,Julyan Stone,29,CHO,23,0,7.6,0.8
573,Edmond Sumner,22,IND,1,0,2,2
574,Caleb Swanigan,20,POR,27,3,7,2.3
575,Jayson Tatum,19,BOS,80,80,30.5,13.9
576,Isaiah Taylor,23,ATL,67,9,17.4,6.6
577,Jeff Teague,29,MIN,70,70,33,14.2
578,Marquis Teague,24,MEM,3,0,24.7,3.7
579,Mirza Teletović,32,MIL,10,0,15.9,7.1
580,Garrett Temple,31,SAC,65,35,24.8,8.4
581,Miloš Teodosić,30,LAC,45,36,25.2,9.5
582,Jason Terry,40,MIL,51,4,16,3.3
583,Daniel Theis,25,BOS,63,3,14.9,5.3
584,Isaiah Thomas,28,TOT,32,15,26.9,15.2
585,Isaiah Thomas,28,CLE,15,14,27.1,14.7
586,Isaiah Thomas,28,LAL,17,1,26.8,15.6
587,Lance Thomas,29,NYK,73,31,18.5,4.1
588,Klay Thompson,27,GSW,73,73,34.3,20
589,Tristan Thompson,26,CLE,53,22,20.2,5.8
590,Sindarius Thornwell,23,LAC,73,17,15.8,3.9
591,Anthony Tolliver,32,DET,79,14,22.2,8.9
592,Karl-Anthony Towns,22,MIN,82,82,35.6,21.3
593,P.J. Tucker,32,HOU,82,34,27.8,6.1
594,Evan Turner,29,POR,79,40,25.7,8.2
595,Myles Turner,21,IND,65,62,28.2,12.7
596,Ekpe Udoh,30,UTA,63,3,12.9,2.6
597,Tyler Ulis,22,PHO,71,43,23.4,7.8
